"","HGNC","HGNCGeneName","GeneID","Chromosome","StartBP","EndBP","WidthBP","CanonicalTranscript","ProteinTranscript","SYMBOL","chromosome_name","LowExpressionFlag"
"GeneID:55180","LINS","lines homolog (Drosophila)","GeneID:55180","15",100569223,100602240,33018,"NM_001040616","NP_001035706","LINS","15",TRUE
"GeneID:100507131","LOC100507131","uncharacterized LOC100507131","GeneID:100507131","17",17858227,17860809,2583,"XR_133126","","LOC100507131","17",TRUE
"GeneID:101929577","LOC101929577","uncharacterized LOC101929577","GeneID:101929577","4",106003317,106022478,19162,"XR_244688","","LOC101929577","4",FALSE
"GeneID:283214","LOC283214","uncharacterized LOC283214","GeneID:283214","11",75758455,75768647,10193,"NR_046090","","LOC283214","11",FALSE
"GeneID:6480","ST6GAL1","ST6 beta-galactosamide alpha-2,6-sialyltranferase 1","GeneID:6480","3",187021877,187078553,56677,"NM_003032","NP_003023","ST6GAL1","3",TRUE
"GeneID:9557","CHD1L","chromodomain helicase DNA binding protein 1-like","GeneID:9557","1",147242641,147295766,53126,"NM_004284","NP_004275","CHD1L","1",FALSE
"GeneID:58503","PROL1","proline rich, lacrimal 1","GeneID:58503","4",70397882,70410197,12316,"NM_021225","NP_067048","PROL1","4",FALSE
"GeneID:100128276","LOC100128276","uncharacterized LOC100128276","GeneID:100128276","12",128849171,128853360,4190,"XR_429203","","LOC100128276","12",TRUE
"GeneID:120863","DEPDC4","DEP domain containing 4","GeneID:120863","12",100252263,100267079,14817,"NM_152317","NP_689530","DEPDC4","12",FALSE
"GeneID:93100","NAPRT","","GeneID:93100","8",143574785,143578351,3567,"NM_145201","NP_660202","NAPRT","8",TRUE
"GeneID:100288380","ULK4P2","","GeneID:100288380","15",30572555,30600708,28154,"NR_027470","","ULK4P2","15",TRUE
"GeneID:729475","RAD51AP2","RAD51 associated protein 2","GeneID:729475","2",17510719,17518439,7721,"NM_001099218","NP_001092688","RAD51AP2","2",FALSE
"GeneID:102723409","LOC102723409","uncharacterized LOC102723409","GeneID:102723409","6",129539348,129558337,18990,"XR_428021","","LOC102723409","6",FALSE
"GeneID:101929658","LOC101929658","uncharacterized LOC101929658","GeneID:101929658","2",164959301,165091180,131880,"XR_241345","","LOC101929658",NA,FALSE
"GeneID:101928413","LOC101928413","uncharacterized LOC101928413","GeneID:101928413","9",40735060,40746923,11864,"XR_252552","","LOC101928413",NA,FALSE
"GeneID:100507341","SMIM18","small integral membrane protein 18","GeneID:100507341","8",30638600,30645956,7357,"NM_001206847","NP_001193776","SMIM18","8",TRUE
"GeneID:5378","PMS1","PMS1 postmeiotic segregation increased 1 (S. cerevisiae)","GeneID:5378","2",189784085,189877629,93545,"NM_000534","NP_000525","PMS1","2",FALSE
"GeneID:3880","KRT19","keratin 19","GeneID:3880","17",41523617,41528389,4773,"NM_002276","NP_002267","KRT19","17",TRUE
"GeneID:100506679","LOC100506679","uncharacterized LOC100506679","GeneID:100506679","22",43038313,43052366,14054,"XR_109728","","LOC100506679","22",TRUE
"GeneID:101930458","LOC101930458","uncharacterized LOC101930458","GeneID:101930458","15",20381479,20383548,2070,"XR_248072","","LOC101930458",NA,FALSE
"GeneID:4635","MYL4","myosin, light chain 4, alkali; atrial, embryonic","GeneID:4635","17",47209062,47223679,14618,"NM_001002841","NP_001002841","MYL4","17",TRUE
"GeneID:64773","PCED1A","PC-esterase domain containing 1A","GeneID:64773","20",2835314,2840702,5389,"NM_022760","NP_073597","PCED1A","20",TRUE
"GeneID:23117","NPIPB3","nuclear pore complex interacting protein family, member B3","GeneID:23117","16",21402134,21425337,23204,"NM_130464","NP_569731","NPIPB3","16",TRUE
"GeneID:57152","SLURP1","secreted LY6/PLAUR domain containing 1","GeneID:57152","8",142740944,142742411,1468,"NM_020427","NP_065160","SLURP1","8",FALSE
"GeneID:100616399","MIR4436A","microRNA 4436a","GeneID:100616399","2",88812370,88812454,85,"NR_039635","","MIR4436A","2",FALSE
"GeneID:5199","CFP","complement factor properdin","GeneID:5199","X",47624213,47630305,6093,"NM_002621","NP_002612","CFP","X",TRUE
"GeneID:407032","MIR30C2","microRNA 30c-2","GeneID:407032","6",71376960,71377031,72,"NR_029598","","MIR30C2","6",FALSE
"GeneID:100507306","LOC100507306","uncharacterized LOC100507306","GeneID:100507306","4",119449565,119454500,4936,"XR_251642","","LOC100507306",NA,FALSE
"GeneID:83795","KCNK16","potassium channel, subfamily K, member 16","GeneID:83795","6",39314698,39322554,7857,"NM_001135105","NP_001128577","KCNK16","6",TRUE
"GeneID:339822","LINC01115","long intergenic non-protein coding RNA 1115","GeneID:339822","2",779840,868426,88587,"NR_033880","","LINC01115","2",FALSE
"GeneID:4881","NPR1","natriuretic peptide receptor 1","GeneID:4881","1",153678688,153693992,15305,"NM_000906","NP_000897","NPR1","1",FALSE
"GeneID:3447","IFNA13","interferon, alpha 13","GeneID:3447","9",21367372,21368076,705,"NM_006900","NP_008831","IFNA13","9",TRUE
"GeneID:285375","LINC00620","long intergenic non-protein coding RNA 620","GeneID:285375","3",13650721,13746635,95915,"NR_027103","","LINC00620","3",TRUE
"GeneID:100131205","RPL21P28","ribosomal protein L21 pseudogene 28","GeneID:100131205","1",212051486,212052051,566,"NR_026911","","RPL21P28","1",TRUE
"GeneID:51185","CRBN","cereblon","GeneID:51185","3",3149633,3179717,30085,"NM_016302","NP_057386","CRBN","3",FALSE
"GeneID:441168","FAM26F","family with sequence similarity 26, member F","GeneID:441168","6",116461370,116463771,2402,"NM_001010919","NP_001010919","FAM26F","6",TRUE
"GeneID:102723953","LOC102723953","uncharacterized LOC102723953","GeneID:102723953","7",6707103,6711502,4400,"XR_428094","","LOC102723953",NA,FALSE
"GeneID:29941","PKN3","protein kinase N3","GeneID:29941","9",128702523,128720920,18398,"NM_013355","NP_037487","PKN3","9",TRUE
"GeneID:9560","CCL4L2","chemokine (C-C motif) ligand 4-like 2","GeneID:9560","17",36211063,36212878,1816,"NM_001291471","NP_001278400","CCL4L2","17",FALSE
"GeneID:101927202","LOC101927202","uncharacterized LOC101927202","GeneID:101927202","22",39091057,39092547,1491,"XR_244435","","LOC101927202","22",TRUE
"GeneID:101928979","LOC101928979","uncharacterized LOC101928979","GeneID:101928979","1",146052596,146058799,6204,"NR_125967","","LOC101928979","1",FALSE
"GeneID:1404","HAPLN1","hyaluronan and proteoglycan link protein 1","GeneID:1404","5",83638198,83721077,82880,"NM_001884","NP_001875","HAPLN1","5",FALSE
"GeneID:102723523","LOC102723523","uncharacterized LOC102723523","GeneID:102723523","16",60364817,60373095,8279,"XR_429754","","LOC102723523",NA,TRUE
"GeneID:727832","GOLGA6L6","golgin A6 family-like 6","GeneID:727832","15",20531856,20541800,9945,"NM_001145004","NP_001138476","GOLGA6L6","15",FALSE
"GeneID:201163","FLCN","folliculin","GeneID:201163","17",17212212,17237188,24977,"NM_144997","NP_659434","FLCN","17",TRUE
"GeneID:5160","PDHA1","pyruvate dehydrogenase (lipoamide) alpha 1","GeneID:5160","X",19343893,19361707,17815,"NM_001173454","NP_001166925","PDHA1","X",FALSE
"GeneID:25790","CFAP45","cilia and flagella associated protein 45","GeneID:25790","1",159872364,159900116,27753,"NM_012337","NP_036469","CFAP45","1",TRUE
"GeneID:100652740","PYCARDOS","PYCARD opposite strand","GeneID:100652740","16",31201885,31203452,1568,"NR_102400","","PYCARDOS","16",TRUE
"GeneID:2569","GABRR1","gamma-aminobutyric acid (GABA) A receptor, rho 1","GeneID:2569","6",89177504,89217777,40274,"NM_002042","NP_002033","GABRR1","6",FALSE
"GeneID:2534","FYN","FYN proto-oncogene, Src family tyrosine kinase","GeneID:2534","6",111660332,111720062,59731,"NM_153047","NP_694592","FYN","6",TRUE
"GeneID:102725019","LOC102725019","uncharacterized LOC102725019","GeneID:102725019","6",32718400,32718611,212,"XR_430863","","LOC102725019","6",FALSE
"GeneID:6846","XCL2","chemokine (C motif) ligand 2","GeneID:6846","1",168540765,168543997,3233,"NM_003175","NP_003166","XCL2","1",TRUE
"GeneID:5564","PRKAB1","protein kinase, AMP-activated, beta 1 non-catalytic subunit","GeneID:5564","12",119667956,119681624,13669,"NM_006253","NP_006244","PRKAB1","12",TRUE
"GeneID:8452","CUL3","cullin 3","GeneID:8452","2",224470150,224585397,115248,"NM_003590","NP_003581","CUL3","2",TRUE
"GeneID:7534","YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta","GeneID:7534","8",100918576,100952993,34418,"NM_001135699","NP_001129171","YWHAZ","8",FALSE
"GeneID:102724655","LOC102724655","putative aquaporin-7-like protein 3-like","GeneID:102724655","9",40481501,40499008,17508,"XR_428468","","LOC102724655","9",TRUE
"GeneID:25906","ANAPC15","anaphase promoting complex subunit 15","GeneID:25906","11",72109587,72112272,2686,"NM_001278493","NP_001265422","ANAPC15","11",TRUE
"GeneID:57703","CWC22","CWC22 spliceosome-associated protein","GeneID:57703","2",179944877,180007053,62177,"NM_020943","NP_065994","CWC22","2",TRUE
"GeneID:124491","TMEM170A","transmembrane protein 170A","GeneID:124491","16",75447019,75464686,17668,"NM_145254","NP_660297","TMEM170A","16",TRUE
"GeneID:102725165","LOC102725165","uncharacterized LOC102725165","GeneID:102725165","15",24376756,24385457,8702,"XR_433057","","LOC102725165","15",TRUE
"GeneID:101927118","LOC101927118","uncharacterized LOC101927118","GeneID:101927118","8",81569376,81579438,10063,"XR_242492","","LOC101927118","8",TRUE
"GeneID:132949","AASDH","aminoadipate-semialdehyde dehydrogenase","GeneID:132949","4",56338284,56387508,49225,"NM_181806","NP_861522","AASDH","4",TRUE
"GeneID:9026","HIP1R","huntingtin interacting protein 1 related","GeneID:9026","12",122835492,122862960,27469,"NM_003959","NP_003950","HIP1R","12",TRUE
"GeneID:5453","POU3F1","POU class 3 homeobox 1","GeneID:5453","1",38043851,38046778,2928,"NM_002699","NP_002690","POU3F1","1",FALSE
"GeneID:2108","ETFA","electron-transfer-flavoprotein, alpha polypeptide","GeneID:2108","15",76216287,76311469,95183,"NM_000126","NP_000117","ETFA","15",FALSE
"GeneID:6908","TBP","TATA box binding protein","GeneID:6908","6",170554333,170572870,18538,"NM_003194","NP_003185","TBP","6",FALSE
"GeneID:55291","PPP6R3","protein phosphatase 6, regulatory subunit 3","GeneID:55291","11",68460718,68615334,154617,"NM_001164160","NP_001157632","PPP6R3","11",TRUE
"GeneID:101929129","LOC101929129","uncharacterized LOC101929129","GeneID:101929129","15",69972515,69975822,3308,"XR_243176","","LOC101929129","15",FALSE
"GeneID:54809","SAMD9","sterile alpha motif domain containing 9","GeneID:54809","7",93099513,93118023,18511,"NM_001193307","NP_001180236","SAMD9","7",TRUE
"GeneID:133558","MROH2B","maestro heat-like repeat family member 2B","GeneID:133558","5",40998020,41071342,73323,"NM_173489","NP_775760","MROH2B","5",FALSE
"GeneID:133923","ZNF474","zinc finger protein 474","GeneID:133923","5",122129520,122153571,24052,"NM_207317","NP_997200","ZNF474","5",FALSE
"GeneID:1893","ECM1","extracellular matrix protein 1","GeneID:1893","1",150508011,150513789,5779,"NM_004425","NP_004416","ECM1","1",FALSE
"GeneID:150967","PKI55","DKFZp434H1419","GeneID:150967","2",216216889,216220192,3304,"NR_037701","","PKI55","2",TRUE
"GeneID:54940","OCIAD1","OCIA domain containing 1","GeneID:54940","4",48831306,48861817,30512,"NM_001168254","NP_001161726","OCIAD1","4",TRUE
"GeneID:101928611","LINC01413","long intergenic non-protein coding RNA 1413","GeneID:101928611","15",57319138,57325039,5902,"NR_120337","","LINC01413","15",TRUE
"GeneID:8647","ABCB11","","GeneID:8647","2",168922939,169031323,108385,"NM_003742","NP_003733","ABCB11","2",FALSE
"GeneID:101927441","LOC101927441","uncharacterized LOC101927441","GeneID:101927441","1",15405747,15409425,3679,"XR_241207","","LOC101927441","1",TRUE
"GeneID:6750","SST","somatostatin","GeneID:6750","3",187668906,187670413,1508,"NM_001048","NP_001039","SST","3",FALSE
"GeneID:102723709","LOC102723709","uncharacterized LOC102723709","GeneID:102723709","9",67712138,67715430,3293,"XR_432415","","LOC102723709","9",FALSE
"GeneID:1340","COX6B1","cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)","GeneID:1340","19",35648223,35658784,10562,"NM_001863","NP_001854","COX6B1","19",TRUE
"GeneID:102466875","MIR8063","microRNA 8063","GeneID:102466875","15",36972821,36972901,81,"NR_107030","","MIR8063","15",TRUE
"GeneID:55211","DPPA4","developmental pluripotency associated 4","GeneID:55211","3",109326141,109337572,11432,"NM_018189","NP_060659","DPPA4","3",FALSE
"GeneID:382","ARF6","ADP-ribosylation factor 6","GeneID:382","14",49893018,49897054,4037,"NM_001663","NP_001654","ARF6","14",FALSE
"GeneID:101928673","LOC101928673","uncharacterized LOC101928673","GeneID:101928673","1",173438083,173442525,4443,"XR_431306","","LOC101928673","1",FALSE
"GeneID:8456","FOXN1","forkhead box N1","GeneID:8456","17",28523941,28538157,14217,"NM_003593","NP_003584","FOXN1","17",FALSE
"GeneID:102724382","LOC102724382","uncharacterized LOC102724382","GeneID:102724382","1",246689945,246691966,2022,"XR_426945","","LOC102724382","1",TRUE
"GeneID:100874086","PCDH9-AS3","PCDH9 antisense RNA 3","GeneID:100874086","13",66977389,66985776,8388,"NR_046636","","PCDH9-AS3","13",TRUE
"GeneID:100874176","LINC00448","long intergenic non-protein coding RNA 448","GeneID:100874176","13",62672285,62796692,124408,"NR_047029","","LINC00448","13",FALSE
"GeneID:693170","MIR585","microRNA 585","GeneID:693170","5",169263601,169263694,94,"NR_030311","","MIR585","5",FALSE
"GeneID:101926889","LOC101926889","uncharacterized LOC101926889","GeneID:101926889","20",25184672,25196892,12221,"NR_109994","","LOC101926889","20",FALSE
"GeneID:58487","CREBZF","CREB/ATF bZIP transcription factor","GeneID:58487","11",85657564,85665138,7575,"NM_001039618","NP_001034707","CREBZF","11",TRUE
"GeneID:414351","LINC00229","long intergenic non-protein coding RNA 229","GeneID:414351","22",44606328,44625419,19092,"NR_044991","","LINC00229","22",FALSE
"GeneID:90784","LOC90784","uncharacterized LOC90784","GeneID:90784","2",86020216,86023868,3653,"NR_026984","","LOC90784","2",TRUE
"GeneID:51025","PAM16","","GeneID:51025","16",4340251,4351372,11122,"NM_016069","NP_057153","PAM16","16",FALSE
"GeneID:388242","LOC388242","coiled-coil domain containing 101 pseudogene","GeneID:388242","16",29464967,29467578,2612,"NR_002556","","LOC388242","16",TRUE
"GeneID:283171","C11orf44","chromosome 11 open reading frame 44","GeneID:283171","11",130672956,130717352,44397,"NM_001271983","NP_001258912","C11orf44","11",FALSE
"GeneID:344","APOC2","apolipoprotein C-II","GeneID:344","19",44945982,44949565,3584,"NM_000483","NP_000474","APOC2","19",TRUE
"GeneID:101929759","LOC101929759","uncharacterized LOC101929759","GeneID:101929759","8",69834129,69837829,3701,"XR_242480","","LOC101929759","8",TRUE
"GeneID:79812","MMRN2","multimerin 2","GeneID:79812","10",86935540,86957668,22129,"NM_024756","NP_079032","MMRN2","10",FALSE
"GeneID:29775","CARD10","caspase recruitment domain family, member 10","GeneID:29775","22",37490362,37519203,28842,"NM_014550","NP_055365","CARD10","22",FALSE
"GeneID:93643","TJAP1","tight junction associated protein 1 (peripheral)","GeneID:93643","6",43477523,43506556,29034,"NM_001146020","NP_001139492","TJAP1","6",FALSE
"GeneID:100874088","PCYT1B-AS1","PCYT1B antisense RNA 1","GeneID:100874088","X",24650073,24658237,8165,"NR_046638","","PCYT1B-AS1","X",TRUE
"GeneID:125113","KRT222","keratin 222","GeneID:125113","17",40655620,40665164,9545,"NM_152349","NP_689562","KRT222","17",TRUE
"GeneID:100302201","MIR1228","microRNA 1228","GeneID:100302201","12",57194504,57194576,73,"NR_031597","","MIR1228","12",FALSE
"GeneID:89944","GLB1L2","galactosidase, beta 1-like 2","GeneID:89944","11",134331874,134376324,44451,"NM_138342","NP_612351","GLB1L2","11",TRUE
"GeneID:102724731","LOC102724731","uncharacterized LOC102724731","GeneID:102724731","17",32944646,32949781,5136,"XR_429943","","LOC102724731","17",FALSE
"GeneID:693165","MIR580","microRNA 580","GeneID:693165","5",36147892,36147988,97,"NR_030306","","MIR580","5",FALSE
"GeneID:1040","CDS1","CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1","GeneID:1040","4",84582904,84651340,68437,"NM_001263","NP_001254","CDS1","4",TRUE
"GeneID:54903","MKS1","Meckel syndrome, type 1","GeneID:54903","17",58205436,58219305,13870,"NM_017777","NP_060247","MKS1","17",TRUE
"GeneID:101928019","LOC101928019","uncharacterized LOC101928019","GeneID:101928019","17",5533583,5538396,4814,"XR_243584","","LOC101928019",NA,TRUE
"GeneID:27010","TPK1","thiamin pyrophosphokinase 1","GeneID:27010","7",144451941,144836053,384113,"NM_022445","NP_071890","TPK1","7",TRUE
"GeneID:100132813","LOC100132813","uncharacterized LOC100132813","GeneID:100132813","8",109644115,109648032,3918,"XR_242420","","LOC100132813","8",TRUE
"GeneID:387266","KRTAP5-3","","GeneID:387266","11",1607565,1608463,899,"NM_001012708","NP_001012726","KRTAP5-3","11",FALSE
"GeneID:10313","RTN3","reticulon 3","GeneID:10313","11",63681450,63759891,78442,"NM_001265589","NP_001252518","RTN3","11",TRUE
"GeneID:145942","TMCO5A","transmembrane and coiled-coil domains 5A","GeneID:145942","15",37935256,37951422,16167,"NM_152453","NP_689666","TMCO5A","15",FALSE
"GeneID:400823","FAM177B","family with sequence similarity 177, member B","GeneID:400823","1",222737216,222750660,13445,"NM_207468","NP_997351","FAM177B","1",TRUE
"GeneID:102725110","LOC102725110","uncharacterized LOC102725110","GeneID:102725110","2",197379883,197379947,65,"XR_432550","","LOC102725110",NA,TRUE
"GeneID:9076","CLDN1","claudin 1","GeneID:9076","3",190305701,190322446,16746,"NM_021101","NP_066924","CLDN1","3",TRUE
"GeneID:253573","LOC253573","uncharacterized LOC253573","GeneID:253573","3",186454981,186493661,38681,"NR_033844","","LOC253573","3",FALSE
"GeneID:653505","PPIAL4B","peptidylprolyl isomerase A (cyclophilin A)-like 4B","GeneID:653505","1",120889746,120890530,785,"NM_001143883","NP_001137355","PPIAL4B","1",TRUE
"GeneID:81034","SLC25A32","solute carrier family 25 (mitochondrial folate carrier), member 32","GeneID:81034","8",103398638,103415335,16698,"NM_030780","NP_110407","SLC25A32","8",FALSE
"GeneID:23191","CYFIP1","","GeneID:23191","15",22869465,22980419,110955,"NM_014608","NP_055423","CYFIP1","15",TRUE
"GeneID:91120","ZNF682","zinc finger protein 682","GeneID:91120","19",20004418,20039468,35051,"NM_033196","NP_149973","ZNF682","19",TRUE
"GeneID:728763","LOC728763","rootletin-like","GeneID:728763","2",240932870,240992527,59658,"XM_006712906","XP_006712969","LOC728763","2",TRUE
"GeneID:102724660","LOC102724660","uncharacterized LOC102724660","GeneID:102724660","7",128463449,128469372,5924,"XR_428245","","LOC102724660","7",TRUE
"GeneID:3846","KRTAP5-9","keratin associated protein 5-9","GeneID:3846","11",71548420,71549607,1188,"NM_005553","NP_005544","KRTAP5-9","11",TRUE
"GeneID:8287","USP9Y","ubiquitin specific peptidase 9, Y-linked","GeneID:8287","Y",12701231,12860843,159613,"NM_004654","NP_004645","USP9Y","Y",FALSE
"GeneID:1495","CTNNA1","catenin (cadherin-associated protein), alpha 1, 102kDa","GeneID:1495","5",138753418,138935034,181617,"NM_001903","NP_001894","CTNNA1","5",TRUE
"GeneID:100313830","MIR548H1","microRNA 548h-1","GeneID:100313830","14",64095024,64095125,102,"NR_031677","","MIR548H1","14",TRUE
"GeneID:100169956","SNAR-A4","small ILF3/NF90-associated RNA A4","GeneID:100169956","19",50092489,50092609,121,"NR_024215","","SNAR-A4","19",FALSE
"GeneID:3081","HGD","homogentisate 1,2-dioxygenase","GeneID:3081","3",120628168,120682571,54404,"NM_000187","NP_000178","HGD","3",TRUE
"GeneID:729506","LOC729506","uncharacterized LOC729506","GeneID:729506","5",8333483,8457564,124082,"NR_039984","","LOC729506","5",TRUE
"GeneID:100126330","MIR941-4","microRNA 941-4","GeneID:100126330","20",63919844,63919960,117,"NR_040032","","MIR941-4","20",FALSE
"GeneID:643802","LOC643802","u3 small nucleolar ribonucleoprotein protein MPP10-like","GeneID:643802","16",53369362,53371129,1768,"NM_001207030","NP_001193959","LOC643802","16",TRUE
"GeneID:57699","CPNE5","copine V","GeneID:57699","6",36740778,36839444,98667,"NM_020939","NP_065990","CPNE5","6",TRUE
"GeneID:440993","LINC00969","long intergenic non-protein coding RNA 969","GeneID:440993","3",195688498,195711875,23378,"NR_122105","","LINC00969","3",TRUE
"GeneID:574460","MIR498","microRNA 498","GeneID:574460","19",53674197,53674320,124,"NR_030182","","MIR498","19",TRUE
"GeneID:9630","GNA14","guanine nucleotide binding protein (G protein), alpha 14","GeneID:9630","9",77423079,77648316,225238,"NM_004297","NP_004288","GNA14","9",TRUE
"GeneID:101929183","LOC101929183","serine/arginine repetitive matrix protein 1-like","GeneID:101929183","16",559471,561770,2300,"XM_005276527","XP_005276584","LOC101929183",NA,TRUE
"GeneID:56254","RNF20","ring finger protein 20, E3 ubiquitin protein ligase","GeneID:56254","9",101533849,101563344,29496,"NM_019592","NP_062538","RNF20","9",FALSE
"GeneID:4322","MMP13","matrix metallopeptidase 13 (collagenase 3)","GeneID:4322","11",102942992,102955734,12743,"NM_002427","NP_002418","MMP13","11",TRUE
"GeneID:54476","RNF216","ring finger protein 216","GeneID:54476","7",5620041,5781730,161690,"NM_207111","NP_996994","RNF216","7",TRUE
"GeneID:84321","THOC3","THO complex 3","GeneID:84321","5",175959531,175968315,8785,"NM_032361","NP_115737","THOC3","5",TRUE
"GeneID:55231","CCDC87","coiled-coil domain containing 87","GeneID:55231","11",66590169,66593083,2915,"NM_018219","NP_060689","CCDC87","11",FALSE
"GeneID:400797","LINC00083","long intergenic non-protein coding RNA 83","GeneID:400797","1",178493899,178499634,5736,"XR_241155","","LINC00083","1",FALSE
"GeneID:5676","PSG7","pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)","GeneID:5676","19",42924132,42937178,13047,"NM_001206650","NP_001193579","PSG7","19",FALSE
"GeneID:100874155","LINC00392","long intergenic non-protein coding RNA 392","GeneID:100874155","13",73564244,73587879,23636,"NR_047009","","LINC00392","13",TRUE
"GeneID:9343","EFTUD2","elongation factor Tu GTP binding domain containing 2","GeneID:9343","17",44850287,44899625,49339,"NM_004247","NP_004238","EFTUD2","17",TRUE
"GeneID:101927297","LOC101927297","uncharacterized LOC101927297","GeneID:101927297","4",70678693,70682247,3555,"XR_245251","","LOC101927297","4",TRUE
"GeneID:124411","ZNF720","zinc finger protein 720","GeneID:124411","16",31713229,31761565,48337,"NM_001130913","NP_001124385","ZNF720","16",TRUE
"GeneID:9825","SPATA2","spermatogenesis associated 2","GeneID:9825","20",49903391,49915543,12153,"NM_006038","NP_006029","SPATA2","20",TRUE
"GeneID:85452","KIAA1751","cilia and flagella associated protein 74","GeneID:85452","1",1953313,2003837,50525,"NM_001080484","NP_001073953","KIAA1751","1",FALSE
"GeneID:101927137","LOC101927137","uncharacterized LOC101927137","GeneID:101927137","10",97696982,97720720,23739,"XR_246168","","LOC101927137",NA,FALSE
"GeneID:101928819","LOC101928819","uncharacterized LOC101928819","GeneID:101928819","5",67464785,67475475,10691,"XR_241808","","LOC101928819","5",FALSE
"GeneID:151742","PPM1L","protein phosphatase, Mg2+/Mn2+ dependent, 1L","GeneID:151742","3",160756208,161071029,314822,"NM_139245","NP_640338","PPM1L","3",TRUE
"GeneID:84451","KIAA1804","mixed lineage kinase 4","GeneID:84451","1",233327768,233385148,57381,"NM_032435","NP_115811","KIAA1804","1",TRUE
"GeneID:7284","TUFM","Tu translation elongation factor, mitochondrial","GeneID:7284","16",28842411,28846408,3998,"NM_003321","NP_003312","TUFM","16",FALSE
"GeneID:100616275","MIR4508","microRNA 4508","GeneID:100616275","15",23562062,23562131,70,"NR_039731","","MIR4508","15",FALSE
"GeneID:2633","GBP1","guanylate binding protein 1, interferon-inducible","GeneID:2633","1",89052304,89065360,13057,"NM_002053","NP_002044","GBP1","1",FALSE
"GeneID:260341","TFAMP1","transcription factor A, mitochondrial pseudogene 1","GeneID:260341","7",1614470,1616692,2223,"NR_001288","","TFAMP1","7",TRUE
"GeneID:100873990","HCFC1-AS1","HCFC1 antisense RNA 1","GeneID:100873990","X",153968765,153970091,1327,"NR_046608","","HCFC1-AS1","X",FALSE
"GeneID:79736","TEFM","transcription elongation factor, mitochondrial","GeneID:79736","17",30898983,30906268,7286,"NM_024683","NP_078959","TEFM","17",FALSE
"GeneID:3809","KIR2DS4","killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4","GeneID:3809","19",54832676,54848569,15894,"NM_001281972","NP_001268901","KIR2DS4","19",FALSE
"GeneID:246100","CTAG1A","cancer/testis antigen 1A","GeneID:246100","X",154585154,154586816,1663,"NM_139250","NP_640343","CTAG1A","X",TRUE
"GeneID:5106","PCK2","phosphoenolpyruvate carboxykinase 2 (mitochondrial)","GeneID:5106","14",24094274,24104130,9857,"NM_004563","NP_004554","PCK2","14",TRUE
"GeneID:2661","GDF9","growth differentiation factor 9","GeneID:2661","5",132861181,132864533,3353,"NM_005260","NP_005251","GDF9","5",TRUE
"GeneID:101929406","LOC101929406","uncharacterized LOC101929406","GeneID:101929406","1",30013952,30037612,23661,"NR_110790","","LOC101929406","1",TRUE
"GeneID:2001","ELF5","E74-like factor 5 (ets domain transcription factor)","GeneID:2001","11",34478795,34513800,35006,"NM_001422","NP_001413","ELF5","11",TRUE
"GeneID:4733","DRG1","developmentally regulated GTP binding protein 1","GeneID:4733","22",31399553,31434186,34634,"NM_004147","NP_004138","DRG1","22",TRUE
"GeneID:100033425","SNORD116-13","small nucleolar RNA, C/D box 116-13","GeneID:100033425","15",25079057,25079150,94,"NR_003328","","SNORD116-13","15",TRUE
"GeneID:1727","CYB5R3","cytochrome b5 reductase 3","GeneID:1727","22",42617840,42644634,26795,"NM_001171660","NP_001165131","CYB5R3","22",FALSE
"GeneID:100126313","MIR744","microRNA 744","GeneID:100126313","17",12081899,12081996,98,"NR_030613","","MIR744","17",TRUE
"GeneID:352887","GYG2P1","glycogenin 2 pseudogene 1","GeneID:352887","Y",12406116,12421590,15475,"NR_033667","","GYG2P1","Y",FALSE
"GeneID:503519","LINC00929","long intergenic non-protein coding RNA 929","GeneID:503519","15",26115813,26126371,10559,"NR_038851","","LINC00929","15",FALSE
"GeneID:102724553","LOC102724553","uncharacterized LOC102724553","GeneID:102724553","15",47960311,48004078,43768,"XR_429530","","LOC102724553","15",TRUE
"GeneID:101928486","LOC101928486","basic proline-rich protein-like","GeneID:101928486","1",15524224,15525403,1180,"XM_006726333","XP_006726396","LOC101928486",NA,TRUE
"GeneID:100170227","SNAR-D","small ILF3/NF90-associated RNA D","GeneID:100170227","19",50140202,50140320,119,"NR_024243","","SNAR-D","19",FALSE
"GeneID:253190","SERHL2","serine hydrolase-like 2","GeneID:253190","22",42553862,42574382,20521,"NM_014509","NP_055324","SERHL2","22",TRUE
"GeneID:152302","CIDECP","cell death-inducing DFFA-like effector c pseudogene","GeneID:152302","3",10017553,10026136,8584,"NR_002786","","CIDECP","3",TRUE
"GeneID:51629","SLC25A39","solute carrier family 25, member 39","GeneID:51629","17",44319625,44324849,5225,"NM_001143780","NP_001137252","SLC25A39","17",FALSE
"GeneID:7681","MKRN3","makorin ring finger protein 3","GeneID:7681","15",23565307,23568020,2714,"NM_005664","NP_005655","MKRN3","15",TRUE
"GeneID:147429","AQP4-AS1","AQP4 antisense RNA 1","GeneID:147429","18",26865308,26935946,70639,"NR_026908","","AQP4-AS1","18",FALSE
